Date,equity_buy_and_hold,equity_penalty_0_0,equity_penalty_1_0,equity_penalty_2_0,equity_penalty_3_0,equity_penalty_4_0,equity_penalty_5_0
2013-06-05,2.1292062482638623,8.269867576474294,5.880367675481697,4.554361571500073,3.6901928294137836,2.7888744544452897,2.8215708272892845
2013-06-06,2.148481630379269,8.269883980857228,5.880379339973571,4.554370605682368,3.7217544905287814,2.814121713054061,2.847114081215968
2013-06-07,2.1758117230613414,8.370947376367557,5.952241424660871,4.610027995663669,3.769097643817979,2.8499191832995114,2.8833312359804375
2013-06-10,2.1758117230613414,8.370947376367557,5.952241424660871,4.610027995663669,3.769097643817979,2.8499191832995114,2.8833312359804375
2013-06-11,2.1533676089922804,8.284598683698066,5.890842368811629,4.562474251422112,3.7302183342901047,2.8205214598845543,2.8535888577804616
2013-06-12,2.1355439640776774,8.280472817960263,5.887908632897046,4.560202064571277,3.6993429339326886,2.79717571400955,2.829969409656066
2013-06-13,2.1680225219532296,8.40226668554488,5.9745113161194325,4.627276090248509,3.7556046291271206,2.8397167409533735,2.873009181631565
2013-06-14,2.1544230972573106,8.349561516706434,5.937034806574097,4.598250426493011,3.7320467270184996,2.8219039582976175,2.854987564410964
2013-06-17,2.1710592548971284,8.414035677697427,5.9828797694697275,4.633757481286418,3.7608650764638267,2.843694310969954,2.8770333841209945
2013-06-18,2.1882224009499396,8.480552205472588,6.03017697661329,4.670389303400547,3.790596313161613,2.8661749229931566,2.8997775556856817
2013-06-19,2.157988581959753,8.363379709566422,5.9468603634982005,4.6058603484134215,3.738223116201721,2.8265740973282836,2.8597124554964375
2013-06-20,2.1045167655431687,8.359214609588335,5.943898729705421,4.6035665545761875,3.7363614199066735,2.8251664171655166,2.85828827188893
2013-06-21,2.1112723942523743,8.359231191203,5.943910520219596,4.603575686363115,3.736368831476804,2.8251720212590925,2.858293941684113
2013-06-24,2.0845943615641036,8.359251088189595,5.943924668160387,4.603586643983694,3.736377724935886,2.825178745849973,2.858300745113154
2013-06-25,2.1046360432743128,8.359270985223551,5.943938816134852,4.603597601630355,3.736386618416137,2.82518547045686,2.858307548558389
2013-06-26,2.1254742533601836,8.359290882304867,5.943952964142994,4.6036085593030975,3.7363955119175563,2.825192195079753,2.8583143520198173
2013-06-27,2.1379506788471523,8.359310779433542,5.943967112184811,4.603619517001922,3.7364044054401444,2.8251989197186527,2.8583211554974395
