Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,selected_rising_entry_floor,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag,equity_buy_and_hold,bh_ret
2006-06-28,0,0.0,0.0001940084907445,0.00019400849074457938,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.006887631490826607,0.2041142180738086,0,1.2265215107767926,0,0,1,0.9479803763802462,0.006779104517853796
2006-06-29,0,0.0,0.0001940084907445,0.00019400849074457938,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.057463906705379486,0.19588336855281188,1,1.2267594663639643,0,0,1,0.9671297666642743,0.02020019692511754
2006-06-30,0,0.0,0.0001940084907445,0.00019400849074457938,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.6635372638702393,0.22213076485458585,1,1.22699746811654,0,0,1,0.9672060959871337,7.89235586478032e-05
2006-07-03,0,0.0,0.0001966533767139,0.0001966533767139289,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.7953635454177856,0.2543038486570794,1,1.2272387613118647,0,0,1,0.9711571823362785,0.004085051123579042
2006-07-05,0,0.0,0.0001940084907445,0.00019400849074457938,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.8767614364624023,0.28923970859914827,1,1.2274768560517302,0,0,1,0.965610195155798,-0.005711729554567335
2006-07-06,0,0.0,0.0001936305065439,0.00019363050654397362,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.7342962026596069,0.3142188102237673,1,1.2277145330171384,0,0,1,0.9684217698961738,0.002911707803501473
2006-07-07,0,0.0,0.0001943864390943,0.0001943864390943073,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.7906319499015808,0.3409578251356569,0,1.227953184073436,0,0,1,0.9621147464275727,-0.006512682453717722
2006-07-10,0,0.0,0.0001958978741247,0.000195897874124773,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.6482152938842773,0.3582028617528563,1,1.2281937374917207,0,0,1,0.9639382155354855,0.0018952719669702578
2006-07-11,0,0.0,0.0001955200691088,0.00019552006910883435,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.614483654499054,0.3725867973922171,1,1.228433874016154,0,0,1,0.9681937840631258,0.004414773124516325
2006-07-12,0,0.0,0.0001958978741247,0.000195897874124773,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.7968471050262451,0.39639869876005307,0,1.2286745216005766,0,0,1,0.9578591778999324,-0.010674109184860892
2006-07-13,0,0.0,0.0001955200691088,0.00019552006910883435,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.10879325866699219,0.380256645758346,0,1.2289147521279522,0,0,1,0.9422808975766359,-0.01626364363648025
2006-07-14,0,0.0,0.0001958978741247,0.000195897874124773,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.0045776586048305035,0.3591714043933097,0,1.2291554939153746,0,0,1,0.9386335418043393,-0.003870773334869515
2006-07-17,0,0.0,0.0001977863620929,0.00019778636209299982,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.0040632933378219604,0.33924071758801494,0,1.2293986041089628,0,0,1,0.9372657103173457,-0.0014572582654186483
2006-07-18,0,0.0,0.0001985415067551,0.00019854150675513438,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.004036516882479191,0.3204271514314332,0,1.2296426907602254,0,0,1,0.9420534128113529,0.005108159235214238
2006-07-19,0,0.0,0.0001977863620929,0.00019778636209299982,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.007518010213971138,0.30286491081242206,0,1.229885897314705,0,0,1,0.9551232643920629,0.013873790384884677
2006-07-20,0,0.0,0.0001966533767139,0.0001966533767139289,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.1830490231513977,0.2961401617657941,0,1.2301277585293848,0,0,1,0.9485880880678255,-0.006842233424600996
2006-07-21,0,0.0,0.0001974087360914,0.00019740873609142007,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.025428295135498047,0.28094627218594703,0,1.230370596495427,0,0,1,0.941901004699517,-0.00704951227242312
2006-07-24,0,0.0,0.0001974087360914,0.00019740873609142007,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.004705740604549646,0.26544208248576673,0,1.2306134823998052,0,0,1,0.9590747682976785,0.018233087673199977
2006-07-25,0,0.0,0.0001985415067551,0.00019854150675513438,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.5032845735549927,0.27879115577052516,1,1.230857810254834,0,0,1,0.9624943887708096,0.0035655410674610977
2006-07-26,0,0.0,0.0001977863620929,0.00019778636209299982,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.8207082152366638,0.30920662320257775,1,1.2311012571433781,0,0,1,0.9637862249801206,0.0013421753148719073
2006-07-27,0,0.0,0.0001974087360914,0.00019740873609142007,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.8433827757835388,0.33918762691523274,1,1.2313442872865514,0,0,1,0.9628745321818112,-0.0009459491894358019
2006-07-28,0,0.0,0.000196275643324,0.0001962756433240287,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.8365659117698669,0.3671033250098995,1,1.231585970178692,0,0,1,0.9725254313797432,0.010023008061147642
2006-07-31,0,0.0,0.0001974087360914,0.00019740873609142007,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.983509361743927,0.4016995374887501,1,1.2318290960084528,0,0,1,0.971537075213398,-0.0010162779650326748
2006-08-01,0,0.0,0.0001981639523118,0.00019816395231186945,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.9813758134841919,0.43423426690111055,1,1.2320732001306907,0,0,1,0.9667496232532734,-0.004927708969905353
2006-08-02,0,0.0,0.0001974087360914,0.00019740873609142007,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.9495776891708374,0.46315827068096727,1,1.2323164221439005,0,0,1,0.9732852171339815,0.0067603790304202604
2006-08-03,0,0.0,0.0001977863620929,0.00019778636209299982,0.0,hold,2006-06-01,12,0.49,0.67,0.52,0.9880268573760986,0.4926168808610197,1,1.2325601575259837,0,0,1,0.9758689730638975,0.00265467499601435
2006-08-04,1,0.0005,-0.001713323885135,-0.0022133238851350656,-0.0024103549594355995,bull,2006-06-01,12,0.49,0.67,0.52,0.9938836097717285,0.5207508205509325,1,1.2298321026894656,1,1,0,0.9741970769548791,-0.0017132383087958836
2006-08-07,1,0.0,-0.0023402436527962,-0.00234024365279617,-0.002538407605108,hold,2006-06-01,12,0.49,0.67,0.52,0.9659957885742188,0.5457405004062568,1,1.2269539959171416,1,1,0,0.9719173856469878,-0.0023400720057763502
2006-08-08,1,0.0,-0.0038310205950222,-0.003831020595022161,-0.0040284293311136,hold,2006-06-01,12,0.49,0.67,0.52,0.9691482186317444,0.5695045496075382,1,1.2222535098896383,1,1,0,0.9681937840631262,-0.0038311914560340554
2006-08-09,1,0.0,-0.0033749753958359,-0.0033749753958358664,-0.0035712510391599003,hold,2006-06-01,12,0.49,0.67,0.52,0.9484708309173584,0.5907742926165145,0,1.2181284343662868,1,1,0,0.9649263211679487,-0.0033748025952667904
2006-08-10,1,0.0,0.0030714605072095,0.0030714605072095225,0.0028759404381007,hold,2006-06-01,12,0.49,0.67,0.52,0.35923248529434204,0.5777788495376347,1,1.2218698677451518,1,1,0,0.9678897194411014,0.0030711135224974484
2006-08-11,1,0.0,-0.0028265924366909,-0.0028265924366909223,-0.0030228680800149003,hold,2006-06-01,12,0.49,0.67,0.52,0.7292017340660095,0.5862775630075103,0,1.2184161396183628,1,1,0,0.9651543905122907,-0.0028260749896074078
2006-08-14,1,0.0,0.0007871306177369,0.0007871306177369419,0.0005889666654251,hold,2006-06-01,12,0.49,0.67,0.52,0.2593778669834137,0.5679300928840124,1,1.2193751922670013,1,1,0,0.9659138422213522,0.0007868706981257745
