Date,rebalance_date,split,selected_smoothing_halflife,selected_threshold,selected_drawdown_threshold,selected_drawdown_prob_floor,predicted_probability_raw,predicted_probability_smoothed,predicted_label,y_true,drawdown_from_peak,drawdown_entry_trigger,signal_zone
2000-10-10,2000-05-26,oos,0,0.55,0.2,0.52,0.0009810022311285138,0.0009810022311285138,0,0,-0.09194345187290742,0,bear
2000-10-11,2000-05-26,oos,0,0.55,0.2,0.52,0.0008604381582699716,0.0008604381582699716,0,0,-0.10662799633531717,0,bear
2000-10-12,2000-05-26,oos,0,0.55,0.2,0.52,0.0013493166770786047,0.0013493166770786047,0,0,-0.12941742284314683,0,bear
2000-10-13,2000-05-26,oos,0,0.55,0.2,0.52,0.0011503164423629642,0.0011503164423629642,0,0,-0.10035609502857523,0,bear
2000-10-16,2000-05-26,oos,0,0.55,0.2,0.52,0.0008632244425825775,0.0008632244425825775,0,0,-0.10006152025517245,0,bear
2000-10-17,2000-05-26,oos,0,0.55,0.2,0.52,0.0007480375934392214,0.0007480375934392214,0,0,-0.1161994387895039,0,bear
2000-10-18,2000-05-26,oos,0,0.55,0.2,0.52,0.0009220413630828261,0.0009220413630828261,0,0,-0.1213321205100123,0,bear
2000-10-19,2000-05-26,oos,0,0.55,0.2,0.52,0.01070291269570589,0.01070291269570589,0,0,-0.09080431220386687,0,bear
2000-10-20,2000-05-26,oos,0,0.55,0.2,0.52,0.012969709001481533,0.012969709001481533,0,0,-0.08545553439348286,0,bear
2000-10-23,2000-05-26,oos,0,0.55,0.2,0.52,0.00597047945484519,0.00597047945484519,0,0,-0.08620843426874814,0,bear
2000-10-24,2000-05-26,oos,0,0.55,0.2,0.52,0.022795867174863815,0.022795867174863815,0,0,-0.08466994838628006,0,bear
2000-10-25,2000-05-26,oos,0,0.55,0.2,0.52,0.0008632182725705206,0.0008632182725705206,0,0,-0.10642500666509391,0,bear
2000-10-26,2000-05-26,oos,0,0.55,0.2,0.52,0.0009046777267940342,0.0009046777267940342,0,0,-0.10672621456551579,0,bear
2000-10-27,2000-05-26,oos,0,0.55,0.2,0.52,0.007001702673733234,0.007001702673733234,0,0,-0.09681432486914354,0,bear
2000-10-30,2000-05-26,oos,0,0.55,0.2,0.52,0.031140800565481186,0.031140800565481186,0,0,-0.08432294793426842,0,bear
2000-10-31,2000-05-26,oos,0,0.55,0.2,0.52,0.21713541448116302,0.21713541448116302,0,0,-0.06419804055829514,0,bear
2000-11-01,2000-05-26,oos,0,0.55,0.2,0.52,0.11060502380132675,0.11060502380132675,0,0,-0.06955337157850516,0,bear
2000-11-02,2000-05-26,oos,0,0.55,0.2,0.52,0.1869548261165619,0.1869548261165619,0,0,-0.06490514788197066,0,bear
2000-11-03,2000-05-26,oos,0,0.55,0.2,0.52,0.20681045949459076,0.20681045949459076,0,0,-0.06597228216011697,0,bear
2000-11-06,2000-05-26,oos,0,0.55,0.2,0.52,0.22814691066741943,0.22814691066741943,0,0,-0.06237153311225041,0,bear
2000-11-07,2000-05-26,oos,0,0.55,0.2,0.52,0.46761828660964966,0.46761828660964966,0,0,-0.06258099607510681,0,bear
2000-11-08,2000-05-26,oos,0,0.55,0.2,0.52,0.017039358615875244,0.017039358615875244,0,0,-0.07737023206034832,0,bear
2000-11-09,2000-05-26,oos,0,0.55,0.2,0.52,0.0035557260271161795,0.0035557260271161795,0,0,-0.08335403188632062,0,bear
2000-11-10,2000-05-26,oos,0,0.55,0.2,0.52,0.00409653689712286,0.00409653689712286,0,0,-0.10571797925861137,0,bear
2000-11-13,2000-05-26,oos,0,0.55,0.2,0.52,0.003332824446260929,0.003332824446260929,0,0,-0.11535487389386612,0,bear
2000-11-14,2000-05-26,oos,0,0.55,0.2,0.52,0.01132251601666212,0.01132251601666212,0,0,-0.09460805092195668,0,bear
2000-11-15,2000-05-26,oos,0,0.55,0.2,0.52,0.053255531936883926,0.053255531936883926,0,0,-0.09011686450966971,0,bear
