rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,bull_state_by_train_cum_excess,better_state_by_cagr_train,better_state_by_sortino_train,better_state_by_cum_excess_train,state0_minus_state1_cagr_train,state0_minus_state1_sortino_train,better_state_by_cagr_validation,better_state_by_sortino_validation,better_state_by_cum_excess_validation,state0_minus_state1_cagr_validation,state0_minus_state1_sortino_validation,better_state_by_cagr_oos,better_state_by_sortino_oos,better_state_by_cum_excess_oos,state0_minus_state1_cagr_oos,state0_minus_state1_sortino_oos
2012-12-05,1997-12-05,2008-12-04,2008-12-05,2012-12-04,2012-12-05,2013-06-04,0,0,0,0,1.4751265629541919,13.392221786397839,0,0,0,1.7071675285665504,13.719759023401314,0,0,0,1.5758527150548254,23.582195844711194
2013-06-05,1998-06-05,2009-06-04,2009-06-05,2013-06-04,2013-06-05,2013-12-04,0,0,0,0,1.551094286014963,13.074163321539338,0,0,0,1.477550119529425,13.58477954573026,0,0,0,1.1590047262347962,15.417536308305621
2013-12-05,1998-12-07,2009-12-04,2009-12-07,2013-12-04,2013-12-05,2014-06-04,0,0,0,0,1.5450206202101615,13.012930874064777,0,0,0,1.4215019945647356,14.362344814446795,0,0,0,0.9100757593582536,10.171658135205462
2014-06-05,1999-06-07,2010-06-04,2010-06-07,2014-06-04,2014-06-05,2014-12-04,0,0,0,0,1.484004038492823,12.671518841386204,0,0,0,1.3415537321209068,13.869798255827146,0,0,0,1.1512187306173853,17.326586452418823
2014-12-05,1999-12-06,2010-12-03,2010-12-06,2014-12-04,2014-12-05,2015-06-04,0,0,0,0,1.4836654014093404,12.777570295066145,0,0,0,1.2827586726696214,13.61840390897028,0,0,0,1.2204365885741617,16.0304067247248
2015-06-05,2000-06-05,2011-06-03,2011-06-06,2015-06-04,2015-06-05,2015-12-04,0,0,0,0,1.4134313352683845,12.386103273603078,0,0,0,1.307265839421112,14.307888265932979,0,0,0,1.3518182515038761,16.865529354287624
2015-12-07,2000-12-07,2011-12-06,2011-12-07,2015-12-04,2015-12-07,2016-06-06,0,0,0,0,1.4453557877057523,12.258736920382505,0,0,0,1.2130033446605433,15.24397541577263,0,0,0,1.1852607771889045,13.002985919702652
2016-06-07,2001-06-07,2012-06-06,2012-06-07,2016-06-06,2016-06-07,2016-12-06,0,0,0,0,1.4733897208925377,12.872035804589878,0,0,0,1.180813094666926,14.756219795518723,0,0,0,1.070091004504174,16.759992969775972
2016-12-07,2001-12-07,2012-12-06,2012-12-07,2016-12-06,2016-12-07,2017-06-06,0,0,0,0,1.447404327645264,12.867571866363317,0,0,0,1.1265947441415094,14.363099676735077,0,0,0,1.1066685980534885,16.99779370214609
2017-06-07,2002-06-07,2013-06-06,2013-06-07,2017-06-06,2017-06-07,2017-12-06,0,0,0,0,1.4366404494764566,12.982392532722368,0,0,0,1.0647236614581461,14.150256946404124,0,0,0,1.0500328663015839,19.371108679303575
2017-12-07,2002-12-09,2013-12-06,2013-12-09,2017-12-06,2017-12-07,2018-06-06,0,0,0,0,1.4373128534965574,14.254702838694406,0,0,0,1.061112880582529,15.428828546020021,0,0,0,1.2740160916050995,18.726393588699565
2018-06-07,2003-06-09,2014-06-06,2014-06-09,2018-06-06,2018-06-07,2018-12-06,0,0,0,0,1.4019645827359963,14.456987994050536,0,0,0,1.1017415535062831,16.753596436835245,0,0,0,0.8569864300946283,11.330355808356185
2018-12-07,2003-12-08,2014-12-05,2014-12-08,2018-12-06,2018-12-07,2019-06-06,0,0,0,0,1.3773425633061913,14.603741112819396,0,0,0,1.0930463108316109,16.495731313674842,0,0,0,0.9862054905916977,11.244112725049572
2019-06-07,2004-06-07,2015-06-05,2015-06-08,2019-06-06,2019-06-07,2019-12-06,0,0,0,0,1.396940748228765,14.774486085222861,0,0,0,1.018843145765318,14.53388503960255,0,0,0,0.8287576491978059,12.34094433824526
2019-12-09,2004-12-09,2015-12-08,2015-12-09,2019-12-06,2019-12-09,2020-06-08,0,0,0,0,1.3622532837713555,13.839423715676418,0,0,0,0.9935851389518097,14.286023855718508,0,0,0,2.7857625755533775,18.495221258409874
2020-06-09,2005-06-09,2016-06-08,2016-06-09,2020-06-08,2020-06-09,2020-12-08,0,0,0,0,1.3894881621361097,13.994777328654635,0,0,0,1.1370752304265836,13.278465269165421,0,0,0,1.8974593144255678,14.366606129720756
2020-12-09,2005-12-09,2016-12-08,2016-12-09,2020-12-08,2020-12-09,2021-06-08,0,0,0,0,1.402680018139675,14.18886871202569,0,0,0,1.220110077403352,12.63334354852857,0,0,0,1.6428837236840728,19.854741464028308
2021-06-09,2006-06-09,2017-06-08,2017-06-09,2021-06-08,2021-06-09,2021-12-08,0,0,0,0,1.3744247203361581,14.242077534748045,0,0,0,1.3125671730498327,13.222585986030198,0,0,0,1.3474974730107308,19.160560979781852
2021-12-09,2006-12-11,2017-12-08,2017-12-11,2021-12-08,2021-12-09,2022-06-08,0,0,0,0,1.37066455496813,14.325180216105577,0,0,0,1.3898799541846714,13.79410362804338,0,0,0,2.8422281371522056,19.646984174461828
2022-06-09,2007-06-11,2018-06-08,2018-06-11,2022-06-08,2022-06-09,2022-12-08,0,0,0,0,1.4507591285217025,16.236083361436847,0,0,0,1.3966012226464541,13.500637112147558,0,0,0,2.8273111830358006,18.592600593888314
2022-12-09,2007-12-10,2018-12-07,2018-12-10,2022-12-08,2022-12-09,2023-06-08,0,0,0,0,1.412333023368158,15.720790028272681,0,0,0,1.5558614846707672,14.283421995321333,0,0,0,2.1054488668717966,24.064977793241333
2023-06-09,2008-06-09,2019-06-07,2019-06-10,2023-06-08,2023-06-09,2023-12-08,0,0,0,0,1.3807871530841762,15.280470593581722,0,0,0,1.6796835819852756,15.436528919185623,0,0,0,1.1938408966391822,17.119623120256602
2023-12-11,2008-12-11,2019-12-10,2019-12-11,2023-12-08,2023-12-11,2024-06-10,0,0,0,0,1.3583725898280092,16.887399500092705,0,0,0,1.7398221981322939,16.103353646285935,0,0,0,1.1572455652011953,15.054444994366735
2024-06-11,2009-06-11,2020-06-10,2020-06-11,2024-06-10,2024-06-11,2024-12-10,0,0,0,0,1.3068989139255551,16.734166780726092,0,0,0,1.5302002617787394,16.267950287208524,0,0,0,1.0434787966249723,13.31196893119833
2024-12-11,2009-12-11,2020-12-10,2020-12-11,2024-12-10,2024-12-11,2025-06-10,0,0,0,0,1.31524700170185,16.306488811875237,0,0,0,1.3864602385664297,16.0201700391398,0,0,0,1.8423814284100808,20.622438551200446
2025-06-11,2010-06-11,2021-06-10,2021-06-11,2025-06-10,2025-06-11,2025-12-10,0,0,0,0,1.3059171778383352,16.306145337903967,0,0,0,1.4567221725423294,17.09427698098464,0,0,0,1.2243566353631727,16.994703702048504
2025-12-11,2010-12-13,2021-12-10,2021-12-13,2025-12-10,2025-12-11,2026-04-13,0,0,0,0,1.2979939529366114,16.688211759901847,0,0,0,1.4177024708454729,16.657222742267614,0,0,0,1.4307063996576477,35.00376107220656
