rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2020-05-04,2005-05-04,2016-05-03,2016-05-04,2020-05-01,2020-05-04,2020-11-03,cfg_002,8,0.6,-0.7422463393004499,0.625,0.6303280805993283,0.6666666666666666,-0.13997814324781796,0.7685370741482966,0.7485242890759864,0.8207913110938713
2020-11-04,2005-11-04,2016-11-03,2016-11-04,2020-11-03,2020-11-04,2021-05-03,cfg_001,4,0.6,1.6282931473283488,0.860655737704918,0.7960784313725491,0.914572864321608,-0.1266164341357305,0.7975951903807615,0.7896464646464647,0.8378812199036918
2021-05-04,2006-05-04,2017-05-03,2017-05-04,2021-05-03,2021-05-04,2021-11-03,cfg_002,8,0.6,-0.168826174755342,0.65625,0.5981781376518218,0.40540540540540543,0.21019944587669304,0.7595190380761523,0.7427200841127637,0.8110236220472441
2021-11-04,2006-11-06,2017-11-03,2017-11-06,2021-11-03,2021-11-04,2022-05-03,cfg_002,8,0.6,-2.0663959543875285,0.8455284552845529,0.6830808080808081,0.5128205128205128,0.2915527545048892,0.748496993987976,0.7451618023617673,0.7838070628768303
2022-05-04,2007-05-04,2018-05-03,2018-05-04,2022-05-03,2022-05-04,2022-11-03,cfg_001,4,0.6,-0.3123023932126167,0.8188976377952756,0.7245341614906833,0.6101694915254238,0.2045261675683676,0.8138138138138138,0.815887748593022,0.8218390804597702
2022-11-04,2007-11-05,2018-11-02,2018-11-05,2022-11-03,2022-11-04,2023-05-03,cfg_001,4,0.6,-1.2726215741113913,0.819672131147541,0.7698170731707317,0.6944444444444444,-0.0774464591814637,0.8048048048048048,0.8035714285714286,0.7896440129449838
2023-05-04,2008-05-05,2019-05-03,2019-05-06,2023-05-03,2023-05-04,2023-11-03,cfg_002,8,0.6,-0.31059648381535576,0.7874015748031497,0.7580519480519481,0.6966292134831461,-0.0023910841773792367,0.7517517517517518,0.7423003295531647,0.6997578692493946
2023-11-06,2008-11-06,2019-11-05,2019-11-06,2023-11-03,2023-11-06,2024-05-03,cfg_002,8,0.6,0.13164743396823786,0.6666666666666666,0.6404109589041096,0.7354838709677419,0.1761612780917307,0.7685370741482966,0.7565495324223643,0.7116104868913857
2024-05-06,2009-05-06,2020-05-05,2020-05-06,2024-05-03,2024-05-06,2024-11-05,cfg_002,8,0.6,-1.3769202639982319,0.6141732283464567,0.6120218579234973,0.5811965811965812,0.2630397590398031,0.7424849699398798,0.731829680448465,0.6838868388683886
2024-11-06,2009-11-06,2020-11-05,2020-11-06,2024-11-05,2024-11-06,2025-05-05,cfg_002,8,0.6,-1.5438713888306106,0.8760330578512396,0.8282051282051281,0.7457627118644068,0.18689076227719367,0.7442326980942828,0.7297541620648751,0.6776232616940582
2025-05-06,2010-05-06,2021-05-05,2021-05-06,2025-05-05,2025-05-06,2025-11-05,cfg_001,4,0.6,0.9562954426313939,0.7952755905511811,0.6611764705882353,0.8737864077669902,-0.5371053200814006,0.7951807228915663,0.7621257842520027,0.6955223880597015
2025-11-06,2010-11-08,2021-11-05,2021-11-08,2025-11-05,2025-11-06,2026-04-13,cfg_001,4,0.6,0.13004978675476464,0.7547169811320755,0.7645149657410746,0.7547169811320755,-0.33305817613166233,0.7979899497487437,0.7813410714583091,0.7372549019607844
