Date,gspc_predicted_label,gspc_predicted_bull_flag,gspc_predicted_bear_flag,gspc_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2009-06-17,1,1,0,0.9362368656019702,1,1,0,0.9376107652980652,1,1,0,0.8780136202228707
2009-06-18,1,1,0,0.9346835926718514,1,1,0,0.9070264908711774,1,1,0,0.8754106517534638
2009-06-19,1,1,0,0.910091679433323,1,1,0,0.8679464388664886,1,1,0,0.8772533196411655
2009-06-22,1,1,0,0.8951963001328381,1,1,0,0.8484833253390829,1,1,0,0.8708500541957064
2009-06-23,1,1,0,0.7801489124223343,1,1,0,0.7148449185954208,1,1,0,0.8280003774829579
2009-06-24,1,1,0,0.704983011646844,1,1,0,0.6025631839338549,1,1,0,0.7838826624763452
2009-06-25,1,1,0,0.7245995353571899,0,0,1,0.5275302878072083,1,1,0,0.7569283370606998
2009-06-26,1,1,0,0.7484827469464459,0,0,1,0.5664862038168539,1,1,0,0.761984183050451
2009-06-29,1,1,0,0.7680527791426587,0,0,1,0.5830686446357944,1,1,0,0.7724212947383313
2009-06-30,1,1,0,0.7971949574298639,1,1,0,0.6017910500390172,1,1,0,0.7563496268863233
2009-07-01,1,1,0,0.8013947562854957,1,1,0,0.6105763962526919,1,1,0,0.7322280956918387
2009-07-02,1,1,0,0.810832360057643,1,1,0,0.6625423788033478,1,1,0,0.7406005376465559
2009-07-06,1,1,0,0.7140915950807634,0,0,1,0.5826636743730953,1,1,0,0.7024892133320494
2009-07-07,1,1,0,0.6532493834423829,0,0,1,0.5062650460418892,1,1,0,0.6643247990648022
2009-07-08,0,0,1,0.5548622443743734,0,0,1,0.42951992866286526,1,1,0,0.6282120399263679
2009-07-09,0,0,1,0.4687760761281885,0,0,1,0.36203944923892567,0,0,1,0.5930645107817402
2009-07-10,0,0,1,0.39744830835224854,0,0,1,0.3097601878272225,0,0,1,0.5600264582298556
2009-07-13,0,0,1,0.33688364960382006,0,0,1,0.2623716452287526,0,0,1,0.528710633928996
2009-07-14,0,0,1,0.3567974325521205,0,0,1,0.24917521012745755,0,0,1,0.5065499255925626
2009-07-15,0,0,1,0.4156668540964565,0,0,1,0.26754289953949867,0,0,1,0.49363654532132
2009-07-16,0,0,1,0.5078693988684237,0,0,1,0.3789400634373925,0,0,1,0.518044083982996
2009-07-17,0,0,1,0.5852800716274305,0,0,1,0.47534133824620534,0,0,1,0.5434503956197241
2009-07-20,1,1,0,0.6499025107653913,0,0,1,0.5575601387058808,0,0,1,0.5664580092353206
2009-07-21,1,1,0,0.7048955124923593,1,1,0,0.6263998572616317,0,0,1,0.5897927958901167
2009-07-22,1,1,0,0.7511753559125016,1,1,0,0.6842440557657408,1,1,0,0.6108062806463054
2009-07-23,1,1,0,0.7898750459492927,1,1,0,0.7330762943806216,1,1,0,0.6324819718324816
2009-07-24,1,1,0,0.8220382199331097,1,1,0,0.7749946763482127,1,1,0,0.6527626154058646
2009-07-27,1,1,0,0.8492969421418033,1,1,0,0.8102144848750301,1,1,0,0.6718237553998345
2009-07-28,1,1,0,0.8723712240488612,1,1,0,0.8396628694271631,1,1,0,0.6898554910039211
2009-07-29,1,1,0,0.890971296006999,1,1,0,0.8640926952754361,1,1,0,0.7068743835146407
2009-07-30,1,1,0,0.9068988526311965,1,1,0,0.8840653597669232,1,1,0,0.7232335471347066
2009-07-31,1,1,0,0.9205855872772267,1,1,0,0.9018934802043004,1,1,0,0.7386777362634744
2009-08-03,1,1,0,0.9320479037463555,1,1,0,0.9167667215456015,1,1,0,0.7533007101507307
2009-08-04,1,1,0,0.9416757041160143,1,1,0,0.9292063876025705,1,1,0,0.7670652373926611
2009-08-05,1,1,0,0.9488679746545339,1,1,0,0.9394425019861248,1,1,0,0.7799776050584801
2009-08-06,1,1,0,0.9561446345715746,1,1,0,0.9477613039070266,1,1,0,0.7922291534307662
2009-08-07,1,1,0,0.9620892769742417,1,1,0,0.9555809484736082,1,1,0,0.8038247356380107
2009-08-10,1,1,0,0.9675111086214208,1,1,0,0.9614746378285148,1,1,0,0.8147257807325303
2009-08-11,1,1,0,0.9722471332653387,1,1,0,0.966984891254205,1,1,0,0.8250361197289842
2009-08-12,1,1,0,0.9738578913668121,1,1,0,0.9716271967045844,1,1,0,0.8345154573688185
2009-08-13,1,1,0,0.9767407501636277,1,1,0,0.9755947079271519,1,1,0,0.8436316139477485
2009-08-14,1,1,0,0.979416727225757,1,1,0,0.9790763910078826,1,1,0,0.8522649134146828
2009-08-17,1,1,0,0.9796616528679234,1,1,0,0.981649971518556,1,1,0,0.8593829802422972
2009-08-18,1,1,0,0.9493285456480274,1,1,0,0.8981813044581601,1,1,0,0.8471874008025893
2009-08-19,1,1,0,0.9282366809110603,1,1,0,0.8962161937285119,1,1,0,0.8514552632324401
2009-08-20,1,1,0,0.9247335993221718,1,1,0,0.9101954248027567,1,1,0,0.8558709238007509
2009-08-21,1,1,0,0.9339190853315841,1,1,0,0.9226707771802709,1,1,0,0.8636258424960527
