Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2015-09-25,2015-06-05,0.0017176911933347583,0.1213688186780289,0,0,1,12,,0.5,bear,0,0,0
2015-09-28,2015-06-05,0.0015558566665276885,0.11464423383549126,0,0,1,12,,0.5,bear,0,0,0
2015-09-29,2015-06-05,0.0017568139592185616,0.1083083498053452,0,0,1,12,,0.5,bear,0,0,0
2015-09-30,2015-06-05,0.004015063401311636,0.10245481742323384,0,0,1,12,,0.5,bear,0,0,0
2015-10-01,2015-06-05,0.011576150543987751,0.09735418978206474,0,0,1,12,,0.5,bear,0,0,0
2015-10-02,2015-06-05,0.20018430054187775,0.10312560042547683,0,0,1,12,,0.5,bear,1,0,0
2015-10-05,2015-06-05,0.8328459858894348,0.144081658609821,0,0,1,12,,0.5,bear,1,0,0
2015-10-06,2015-06-05,0.6778790354728699,0.17404140327496867,0,0,1,12,,0.5,bear,1,0,0
2015-10-07,2015-06-05,0.8768587708473206,0.21348751108920977,0,0,1,12,,0.5,bear,1,0,0
2015-10-08,2015-06-05,0.9078261852264404,0.2524577464068435,0,0,1,12,,0.5,bear,1,0,0
2015-10-09,2015-06-05,0.8977389335632324,0.28867459654956856,0,0,1,12,,0.5,bear,1,0,0
2015-10-12,2015-06-05,0.8501562476158142,0.32018814013227914,0,0,1,12,,0.5,bear,1,0,0
2015-10-13,2015-06-05,0.7018320560455322,0.3416081672237605,0,0,1,12,,0.5,bear,1,0,0
2015-10-14,2015-06-05,0.727619469165802,0.3632733168578919,0,0,1,12,,0.5,bear,1,0,0
2015-10-15,2015-06-05,0.9692595601081848,0.39728471126575304,0,0,1,12,,0.5,bear,1,0,0
2015-10-16,2015-06-05,0.9817279577255249,0.43008699017185015,0,0,1,12,,0.5,bear,1,0,0
2015-10-19,2015-06-05,0.9730749726295471,0.460562563892869,0,0,1,12,,0.5,bear,1,0,0
2015-10-20,2015-06-05,0.962046205997467,0.48870867798487716,0,0,1,12,,0.5,bear,1,0,0
2015-10-21,2015-06-05,0.9040714502334595,0.512021199063766,1,1,0,12,,0.5,bull,1,0,0
2015-10-22,2015-06-05,0.989314079284668,0.5388095900182982,1,1,0,12,,0.5,bull,1,0,0
2015-10-23,2015-06-05,0.9914999604225159,0.5642171481996137,1,1,0,12,,0.5,bull,1,0,0
2015-10-26,2015-06-05,0.9885159730911255,0.5880312113749995,1,1,0,12,,0.5,bull,1,0,0
2015-10-27,2015-06-05,0.991050124168396,0.6106509248578055,1,1,0,12,,0.5,bull,1,0,0
2015-10-28,2015-06-05,0.9896668195724487,0.6319234524532277,1,1,0,12,,0.5,bull,1,0,0
2015-10-29,2015-06-05,0.9891069531440735,0.6519706219282602,1,1,0,12,,0.5,bull,1,0,0
2015-10-30,2015-06-05,0.9950049519538879,0.6712236594747233,1,1,0,12,,0.5,bull,1,0,0
2015-11-02,2015-06-05,0.9908652901649475,0.6891637656927565,1,1,0,12,,0.5,bull,1,0,0
2015-11-03,2015-06-05,0.9925351142883301,0.7061906911453646,1,1,0,12,,0.5,bull,1,0,0
2015-11-04,2015-06-05,0.9940534234046936,0.7223471848467451,1,1,0,12,,0.5,bull,1,0,0
2015-11-05,2015-06-05,0.9961349964141846,0.7377137139503427,1,1,0,12,,0.5,bull,1,0,0
2015-11-06,2015-06-05,0.995446503162384,0.7521791438893327,1,1,0,12,,0.5,bull,1,0,0
2015-11-09,2015-06-05,0.7288812398910522,0.7508715330143533,1,1,0,12,,0.5,bull,1,0,0
2015-11-10,2015-06-05,0.8565360903739929,0.7568020289213476,1,1,0,12,,0.5,bull,1,0,0
2015-11-11,2015-06-05,0.8757360577583313,0.7634772830353586,1,1,0,12,,0.5,bull,0,0,0
2015-11-12,2015-06-05,0.11726605892181396,0.7272082339291817,1,1,0,12,,0.5,bull,0,0,0
2015-11-13,2015-06-05,0.04661867767572403,0.689009677302795,1,1,0,12,,0.5,bull,0,0,0
2015-11-16,2015-06-05,0.31809002161026,0.668191556687182,1,1,0,12,,0.5,bull,0,0,0
2015-11-17,2015-06-05,0.16451886296272278,0.6399225805684339,1,1,0,12,,0.5,bull,1,0,0
2015-11-18,2015-06-05,0.7316633462905884,0.6450715940996975,1,1,0,12,,0.5,bull,1,0,0
2015-11-19,2015-06-05,0.8889707326889038,0.6587606008893596,1,1,0,12,,0.5,bull,1,0,0
2015-11-20,2015-06-05,0.7718888521194458,0.6651100017447663,1,1,0,12,,0.5,bull,1,0,0
2015-11-23,2015-06-05,0.8520029187202454,0.6755994951649382,1,1,0,12,,0.5,bull,1,0,0
