Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,mapped_spy_next_ret,mapped_spy_next_rf_daily,mapped_spy_return_date,equity_predicted_strategy,equity_full_upper_bound_oracle
2010-11-30,1.0,0.0005,0.02126743461140479,0.02076743461140479,0.020761090458885023,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.02126743461140479,6.344152519766055e-06,2010-12-01,37.447230695400755,37.447230695400755
2010-12-01,1.0,0.0,0.012809036723652634,0.012809036723652634,0.012802692571132868,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.012809036723652634,6.344152519766055e-06,2010-12-02,37.926893648577234,37.926893648577234
2010-12-03,1.0,0.0,-0.0010574843831473446,-0.0010574843831473446,-0.0010634323219621544,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0010574843831473446,5.947938814809817e-06,2010-12-06,37.88678655084257,37.88678655084257
2010-12-06,1.0,0.0,0.000569878867779261,0.000569878867779261,0.0005643271820763296,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.000569878867779261,5.551685702931408e-06,2010-12-07,37.90837742986596,37.90837742986596
2010-12-07,1.0,0.0,0.0036635133159814703,0.0036635133159814703,0.0036575653771666605,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0036635133159814703,5.947938814809817e-06,2010-12-08,38.047255275367526,38.047255275367526
2010-12-08,1.0,0.0,0.003893962108076021,0.003893962108076021,0.0038884104223730898,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.003893962108076021,5.551685702931408e-06,2010-12-09,38.195409845726104,38.195409845726104
2010-12-09,1.0,0.0,0.005817312222399229,0.005817312222399229,0.00581215682922287,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.005817312222399229,5.155393176359269e-06,2010-12-10,38.417604470261196,38.417604470261196
2010-12-10,1.0,0.0,0.0006427642464463812,0.0006427642464463812,0.0006368163076315714,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0006427642464463812,5.947938814809817e-06,2010-12-13,38.442297932848795,38.442297932848795
2010-12-13,1.0,0.0,0.000883021270877693,0.000883021270877693,0.0008770733320628832,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.000883021270877693,5.947938814809817e-06,2010-12-14,38.47624329962492,38.47624329962492
2010-12-14,1.0,0.0,-0.004572161302360933,-0.004572161302360933,-0.0045777129880638645,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.004572161302360933,5.551685702931408e-06,2010-12-15,38.30032370895015,38.30032370895015
2010-12-15,1.0,0.0,0.005801944242265211,0.005801944242265211,0.005796788849088852,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.005801944242265211,5.155393176359269e-06,2010-12-16,38.52254005157019,38.52254005157019
2010-12-16,1.0,0.0,0.0010711744695153236,0.0010711744695153236,0.0010668117796681642,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0010711744695153236,4.362689847159373e-06,2010-12-17,38.563804412974314,38.563804412974314
2010-12-17,1.0,0.0,0.00241367808303683,0.00241367808303683,0.0024081263973338984,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.00241367808303683,5.551685702931408e-06,2010-12-20,38.65688502248443,38.65688502248443
2010-12-20,1.0,0.0,0.006340342639185703,0.006340342639185703,0.006334790953482772,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.006340342639185703,5.551685702931408e-06,2010-12-21,38.90198291889059,38.90198291889059
