Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret
2016-07-06,2016-06-07,0.4919181764125824,0.7001741406509636,1,12,-0.0006200624459810067,1.1491348215653119e-05,-0.0006315537941966598
2016-07-07,2016-06-07,0.277672678232193,0.6764609556797204,1,12,0.01489056134095712,1.1095646087921907e-05,0.014879465694869198
2016-07-08,2016-06-07,0.9616523385047913,0.6924675180580359,1,12,0.0035269065258860532,1.2282634586968655e-05,0.0035146238912990846
2016-07-11,2016-06-07,0.9904505610466003,0.7091920211549695,1,12,0.0072634570545757615,1.1491348215653119e-05,0.007251965706360108
2016-07-12,2016-06-07,0.9947282671928406,0.725217939218134,1,12,-0.00013964650813902413,1.2282634586968655e-05,-0.00015192914272599278
2016-07-13,2016-06-07,0.9961041212081909,0.7404216123673578,1,12,0.005583315099159547,1.2678218846096101e-05,0.005570636880313451
2016-07-14,2016-06-07,0.9940400123596191,0.7546561193834926,1,12,-0.0013416165007255065,1.2678218846096101e-05,-0.0013542947195716026
2016-07-15,2016-06-07,0.9938613176345825,0.7680816755454468,1,12,0.0026870032752661643,1.2678218846096101e-05,0.0026743250564200682
2016-07-18,2016-06-07,0.9950860142707825,0.780822450080644,1,12,-0.0010162576454625372,1.2282634586968655e-05,-0.0010285402800495058
2016-07-19,2016-06-07,0.9959421753883362,0.7928961925192635,1,12,0.0041629692844753485,1.2678218846096101e-05,0.004150291065629252
2016-07-20,2016-06-07,0.9953433275222778,0.8042586771169297,1,12,-0.003777237939817657,1.2678218846096101e-05,-0.003789916158663753
2016-07-21,2016-06-07,0.9973684549331665,0.8150970961247513,1,12,0.004484952149880428,1.3073763831750185e-05,0.004471878386048678
2016-07-22,2016-06-07,0.9954854846000671,0.8252215184121701,1,12,-0.002715621882592667,1.2678218846096101e-05,-0.002728300101438763
2016-07-25,2016-06-07,0.9965505599975586,0.8348374786287367,1,12,0.00046134092525318415,1.2282634586968655e-05,0.0004490582906662155
2016-07-26,2016-06-07,0.9933328032493591,0.8437331376598073,1,12,-0.0010608256436731578,1.2282634586968655e-05,-0.0010731082782601264
2016-07-27,2016-06-07,0.9910032749176025,0.8519987753348623,1,12,0.001154292270631796,9.908303843175759e-06,0.0011443839667886202
2016-07-28,2016-06-07,0.9925227761268616,0.8598857814640315,1,12,0.0016147888979409775,1.1095646087921907e-05,0.0016036932518530556
2016-07-29,2016-06-07,0.9960415363311768,0.8675276167882928,1,12,-0.0008290111437564418,1.1491348215653119e-05,-0.0008405024919720949
2016-08-01,2016-06-07,0.9886258244514465,0.8743243369264023,1,12,-0.006407476745738494,1.1491348215653119e-05,-0.006418968093954147
2016-08-02,2016-06-07,0.9699576497077942,0.8796918223367846,1,12,0.0029229220433930614,1.1095646087921907e-05,0.0029118263973051395
2016-08-03,2016-06-07,0.9216471910476685,0.8820465962423758,1,12,0.0010636225468141358,1.0304123909676832e-05,0.001053318422904459
2016-08-04,2016-06-07,0.9084322452545166,0.8835275089285217,1,12,0.008179185649771936,1.1095646087921907e-05,0.008168090003684014
2016-08-05,2016-06-07,0.9977924823760986,0.889940709099675,1,12,-0.0005958487294362991,1.2282634586968655e-05,-0.0006081313640232677
