Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag
2016-09-07,1,0.0,-9.136350569605156e-05,-9.136350569605156e-05,-0.0001048327752470879,bull,2016-06-07,12,0.47,0.65,0.9359983205795288,0.8479549704074765,1,2.1080766586518864,1,1,0
2016-09-08,1,0.0,-0.0022828278675017,-0.0022828278675017,-0.0022966926035140924,bull,2016-06-07,12,0.47,0.65,0.917589008808136,0.8518632286734629,1,2.103264282508686,1,1,0
2016-09-09,1,0.0,-0.023934754483826,-0.023934754483826,-0.02394861921983839,bull,2016-06-07,12,0.47,0.65,0.7266932129859924,0.8448379755113604,0,2.0529231682922404,1,1,0
2016-09-12,1,0.0,0.0143470139547852,0.0143470139547852,0.014332358403593688,bull,2016-06-07,12,0.47,0.65,0.014687057584524155,0.7982451846647938,0,2.082376485635831,1,1,0
2016-09-13,1,0.0,-0.0143753373755632,-0.0143753373755632,-0.014389597538786568,bull,2016-06-07,12,0.47,0.65,0.21481028199195862,0.7654994997467917,0,2.0524416211118766,1,1,0
2016-09-14,1,0.0,-0.0003752270068927,-0.0003752270068927,-0.0003883007707244502,bull,2016-06-07,12,0.47,0.65,0.014438159763813019,0.7233456658220386,0,2.051671489585565,1,1,0
2016-09-15,1,0.0,0.0099931003733477,0.0099931003733477,0.009981609025132046,bull,2016-06-07,12,0.47,0.65,0.01986919529736042,0.6838625654015846,0,2.072174048714129,1,1,0
2016-09-16,1,0.0,-0.0038656817313196,-0.0038656817313196,-0.0038775687423655302,bull,2016-06-07,12,0.47,0.65,0.1573369801044464,0.6543109550361091,0,2.0641636833499004,1,1,0
2016-09-19,1,0.0,0.0001874645691968,0.0001874645691968,0.00017557755815086985,hold,2016-06-07,12,0.47,0.65,0.4940486550331116,0.6453161232972283,0,2.0645506409055514,1,1,0
2016-09-20,1,0.0,4.706561312972646e-05,4.706561312972646e-05,3.5178602083796306e-05,hold,2016-06-07,12,0.47,0.65,0.20537950098514557,0.6206243779934685,0,2.064647810247303,1,1,0
