Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold
2008-04-24,0.7086784839630127,0.6290887696284692,0,0,1,4,0.48,0.65
2008-04-25,0.9037337899208069,0.6727857768896964,1,1,0,4,0.48,0.65
2008-04-28,0.9795699715614319,0.7215962420054718,1,1,0,4,0.48,0.65
2008-04-29,0.9670636653900146,0.7606509890043868,1,1,0,4,0.48,0.65
2008-04-30,0.9309347867965698,0.7877437516573347,1,1,0,4,0.48,0.65
2008-05-01,0.6881937980651855,0.7719049971794973,1,1,0,4,0.48,0.65
2008-05-02,0.9780358076095581,0.804701148045577,1,1,0,4,0.48,0.65
2008-05-05,0.9759282469749451,0.8319439932909463,1,1,0,4,0.48,0.65
2008-05-06,0.9578289985656738,0.8519727488959605,1,1,0,4,0.48,0.65
2008-05-07,0.9742063283920288,0.871420549570155,1,1,0,4,0.48,0.65
2008-05-08,0.6803067922592163,0.841013665687653,1,1,0,4,0.48,0.65
2008-05-09,0.06227003037929535,0.7171127617117392,1,1,0,4,0.48,0.65
2008-05-12,0.254787415266037,0.6435551417731595,1,1,0,4,0.48,0.65
2008-05-13,0.6532719731330872,0.6451011244748992,1,1,0,4,0.48,0.65
2008-05-14,0.42694252729415894,0.6103913096202226,1,1,0,4,0.48,0.65
2008-05-15,0.8131551146507263,0.6426517578573726,1,1,0,4,0.48,0.65
2008-05-16,0.9518238306045532,0.6918421429348883,1,1,0,4,0.48,0.65
2008-05-19,0.9151982069015503,0.727378893386805,1,1,0,4,0.48,0.65
2008-05-20,0.9154887795448303,0.7573078506007624,1,1,0,4,0.48,0.65
2008-05-21,0.9215084910392761,0.7834327611121659,1,1,0,4,0.48,0.65
2008-05-22,0.04452452063560486,0.6658698112537745,1,1,0,4,0.48,0.65
2008-05-23,0.022271694615483284,0.5634710437606645,1,1,0,4,0.48,0.65
2008-05-27,0.0067853862419724464,0.47490036007259756,0,0,1,4,0.48,0.65
2008-05-28,0.016164880245923996,0.40191390078186645,0,0,1,4,0.48,0.65
2008-05-29,0.03809316083788872,0.3440287168517335,0,0,1,4,0.48,0.65
2008-05-30,0.5449634790420532,0.3759981578163557,0,0,1,4,0.48,0.65
2008-06-02,0.3007373809814453,0.36402389843113125,0,0,1,4,0.48,0.65
2008-06-04,0.12103477120399475,0.12103477120399475,0,0,1,8,0.48,0.67
2008-06-05,0.25209659337997437,0.13191237253482943,0,0,1,8,0.48,0.67
2008-06-06,0.9131187200546265,0.1967493408018191,0,0,1,8,0.48,0.67
2008-06-09,0.034080225974321365,0.18324846197566175,0,0,1,8,0.48,0.67
2008-06-10,0.04655834659934044,0.17190373506554008,0,0,1,8,0.48,0.67
2008-06-11,0.04236237332224846,0.16115232580308578,0,0,1,8,0.48,0.67
2008-06-12,0.01546528097242117,0.1490608901246808,0,0,1,8,0.48,0.67
2008-06-13,0.006021866109222174,0.1371892294674478,0,0,1,8,0.48,0.67
2008-06-16,0.16636450588703156,0.13961065944865936,0,0,1,8,0.48,0.67
2008-06-17,0.08667459338903427,0.13521717999706004,0,0,1,8,0.48,0.67
2008-06-18,0.056183312088251114,0.1286576885107328,0,0,1,8,0.48,0.67
2008-06-19,0.007459947839379311,0.11859876606228169,0,0,1,8,0.48,0.67
2008-06-20,0.02331664226949215,0.11069073503260816,0,0,1,8,0.48,0.67
2008-06-23,0.005841959733515978,0.10198871060784158,0,0,1,8,0.48,0.67
2008-06-24,0.004492334555834532,0.09389690559332807,0,0,1,8,0.48,0.67
2008-06-25,0.005746436771005392,0.0865807730914626,0,0,1,8,0.48,0.67
2008-06-26,0.004295578692108393,0.07975143465219857,0,0,1,8,0.48,0.67
2008-06-27,0.0035311211831867695,0.07342545680859805,0,0,1,8,0.48,0.67
2008-06-30,0.0022407304495573044,0.0675174123352158,0,0,1,8,0.48,0.67
2008-07-01,0.0031757366377860308,0.06217731339889286,0,0,1,8,0.48,0.67
2008-07-02,0.0034117083996534348,0.05730000578532463,0,0,1,8,0.48,0.67
2008-07-03,0.0029475316405296326,0.052788970189484,0,0,1,8,0.48,0.67
2008-07-07,0.005647887941449881,0.04887645096394112,0,0,1,8,0.48,0.67
2008-07-08,0.0027581574395298958,0.0450488190671148,0,0,1,8,0.48,0.67
2008-07-09,0.005213565658777952,0.041742654096305495,0,0,1,8,0.48,0.67
2008-07-10,0.0028180398512631655,0.03851206849414912,0,0,1,8,0.48,0.67
2008-07-11,0.0036240178160369396,0.03561650134739528,0,0,1,8,0.48,0.67
2008-07-14,0.002675638534128666,0.03288254292054456,0,0,1,8,0.48,0.67
2008-07-15,0.002070941962301731,0.030325304618619327,0,0,1,8,0.48,0.67
