Date,equity_current_baseline,equity_buy_and_hold,equity_fixed_rising_floor_048,equity_fixed_rising_floor_049,equity_fixed_rising_floor_050,equity_fixed_rising_floor_051,equity_fixed_rising_floor_052,equity_fixed_rising_floor_053,equity_dynamic_rising_floor
2024-03-26,3.8694588730307458,5.865315911306065,4.816079977106419,5.003700876720982,5.030792325296144,5.552494312775326,5.669646367929922,5.203083335038984,4.914629828939614
2024-03-27,3.901977424658808,5.914606736343308,4.856553839349008,5.0457514865427076,5.073070608985994,5.599156928634344,5.7172935181331175,5.246809535421894,4.955931894440057
2024-03-28,3.901231578832258,5.913476185273968,4.855625530438351,5.044787013333749,5.07210091384691,5.59808667440862,5.716200682617793,5.245806630851004,4.954984589851164
2024-04-01,3.894444358495677,5.903187781794555,4.84717789033264,5.036010276983003,5.063276657768794,5.588347327498623,5.706255845266545,5.236680167905337,4.946364088479711
2024-04-02,3.869682696723616,5.865655182649163,4.816358556835784,5.0039903091313,5.031083324775208,5.552815489410744,5.669974321069878,5.203384300461947,4.91491410915385
2024-04-03,3.8739337148403714,5.872097450683865,4.821649540383151,5.00948741448265,5.036610193006196,5.558915503570683,5.676203039404023,5.2018725875172525,4.920313360347753
2024-04-04,3.826648395075261,5.800423198785804,4.762796380495848,4.948341501390312,4.975133218685192,5.4910632591900885,5.606919180792371,5.135777480495729,4.860255907713157
2024-04-05,3.8666251718191504,5.861019181108802,4.812553041657801,5.000036541809544,5.027108150641431,5.548428082747363,5.665494344530967,5.1342873425584825,4.911030722977311
2024-04-08,3.86878810140118,5.864298097276774,4.815245108479988,5.002833483966318,5.02992023623233,5.551531786546066,5.668663533363626,5.135364780653746,4.9137778766725795
2024-04-09,3.873262943210805,5.871081403692818,4.820814671756719,5.008620021727985,5.035738103942382,5.557952977341422,5.675220204837726,5.136442444851052,4.919461408080718
2024-04-10,3.834479426529524,5.812293101494756,4.772543188776932,4.9584680178462515,4.985314562958895,5.5023004267217095,5.618393441276508,5.137524202229938,4.870202161708703
2024-04-11,3.863417964820079,5.856158058895991,4.808561226285805,4.995889216563388,5.02293837060603,5.543825889209047,5.660795049329712,5.138606187431687,4.906957224407503
