Date,spy_predicted_label,spy_predicted_bull_flag,spy_predicted_bear_flag,spy_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2016-04-25,1.0,1.0,0.0,0.949506399256225,1,1,0,0.9302986394649857,1,1,0,0.8740655647729363
2016-04-26,1.0,1.0,0.0,0.9496459923657873,1,1,0,0.93560563636831,1,1,0,0.88435981113476
2016-04-27,1.0,1.0,0.0,0.9507359282271304,1,1,0,0.9406198155452093,1,1,0,0.8935969459368176
2016-04-28,1.0,1.0,0.0,0.9469822756356867,1,1,0,0.9452737831193846,1,1,0,0.9019931773137025
2016-04-29,1.0,1.0,0.0,0.9457213925461654,1,1,0,0.9468377525138646,1,1,0,0.9091329422287603
2016-05-03,1.0,1.0,0.0,0.9150217175483704,1,1,0,0.9793270230293274,1,1,0,0.980701208114624
2016-05-04,1.0,1.0,0.0,0.8967140751530981,1,1,0,0.9746996412290176,1,1,0,0.9681498105780469
2016-05-05,1.0,1.0,0.0,0.8909517320520142,1,1,0,0.9692601125414553,1,1,0,0.9014496357149272
2016-05-06,1.0,1.0,0.0,0.8895786845756498,1,1,0,0.9581483437909449,1,1,0,0.8411830833586262
2016-05-09,1.0,1.0,0.0,0.8844597459715138,1,1,0,0.9515699032779962,1,1,0,0.817344171837512
2016-05-10,1.0,1.0,0.0,0.8831887215717259,1,1,0,0.9337828881759271,1,1,0,0.8242149102794583
2016-05-11,1.0,1.0,0.0,0.8905486622033203,1,1,0,0.9384233338078135,1,1,0,0.8164984159957993
2016-05-12,1.0,1.0,0.0,0.854011374579605,1,1,0,0.932198296843159,1,1,0,0.8129898287929982
2016-05-13,1.0,1.0,0.0,0.833147179463635,1,1,0,0.9226306727348506,1,1,0,0.7796168458274658
2016-05-16,1.0,1.0,0.0,0.8100705084673393,1,1,0,0.9005244740464193,1,1,0,0.7240224687748247
2016-05-17,1.0,1.0,0.0,0.7684789764438752,1,1,0,0.8933499668355473,1,1,0,0.708993946412894
2016-05-18,1.0,1.0,0.0,0.7211884474169277,1,1,0,0.8788065813810503,1,1,0,0.652454551984472
2016-05-19,1.0,1.0,0.0,0.6715705994998304,1,1,0,0.8286067329650109,1,1,0,0.6456443361136702
2016-05-20,1.0,1.0,0.0,0.6437541208718153,1,1,0,0.7723159440175783,1,1,0,0.5940995106060246
2016-05-23,1.0,1.0,0.0,0.6573165010386112,1,1,0,0.7700044079420145,1,1,0,0.5817827896127052
2016-05-24,1.0,1.0,0.0,0.6393960687627023,1,1,0,0.761618880506854,1,1,0,0.5664562401663449
2016-05-25,1.0,1.0,0.0,0.6546030753857099,1,1,0,0.7765215040437417,1,1,0,0.6007897334597844
2016-05-26,1.0,1.0,0.0,0.682724435703237,1,1,0,0.7945194677020722,1,1,0,0.6335533562893652
2016-05-27,1.0,1.0,0.0,0.7084632776073913,1,1,0,0.8108468495611969,1,1,0,0.6628596764530218
2016-05-31,1.0,1.0,0.0,0.7322199574472286,1,1,0,0.8263209180586087,1,1,0,0.6906743767702367
2016-06-01,1.0,1.0,0.0,0.7533590409957768,1,1,0,0.8399304941002862,1,1,0,0.7162627530110026
2016-06-02,1.0,1.0,0.0,0.7734304850161182,1,1,0,0.8526023679184469,1,1,0,0.7390460844953997
2016-06-03,1.0,1.0,0.0,0.7919807240466232,1,1,0,0.8646989924063719,1,1,0,0.7602174844145038
2016-06-06,1.0,1.0,0.0,0.8075642489494133,1,1,0,0.8756907480904452,1,1,0,0.7795170488318693
2016-06-07,1.0,1.0,0.0,0.823310873805101,1,1,0,0.8858236248668906,1,1,0,0.797255120297819
2016-06-08,1.0,1.0,0.0,0.8376426600290002,1,1,0,0.8947821590365872,1,1,0,0.8132632825819555
2016-06-09,1.0,1.0,0.0,0.850842855087464,1,1,0,0.9029215718851922,1,1,0,0.8282323471020245
2016-06-10,1.0,1.0,0.0,0.8628253818955148,1,1,0,0.9106239633068312,1,1,0,0.8419436350046762
2016-06-13,1.0,1.0,0.0,0.863290870565107,1,1,0,0.8961546060574452,1,1,0,0.8538012076215351
2016-06-14,1.0,1.0,0.0,0.8655052248093106,1,1,0,0.8987146429458007,1,1,0,0.8511808690795485
2016-06-15,1.0,1.0,0.0,0.8695757730640532,1,1,0,0.8984909881850646,1,1,0,0.8547970741692723
2016-06-16,1.0,1.0,0.0,0.8539894222279649,1,1,0,0.9031511020234202,1,1,0,0.8633971831268987
2016-06-17,1.0,1.0,0.0,0.8592775723628481,1,1,0,0.9063222808561893,1,1,0,0.8594598900199051
2016-06-20,1.0,1.0,0.0,0.8491891376230639,1,1,0,0.9060367893657352,1,1,0,0.851728452807533
2016-06-21,1.0,1.0,0.0,0.8462083978208358,1,1,0,0.911398372337396,1,1,0,0.8605223282562684
2016-06-22,1.0,1.0,0.0,0.8384760659384393,1,1,0,0.9162113073248601,1,1,0,0.8524299186571801
2016-06-23,1.0,1.0,0.0,0.8390581676117345,1,1,0,0.9175597305990791,1,1,0,0.8335256605538937
2016-06-24,1.0,1.0,0.0,0.8519554302077557,1,1,0,0.9236699996188015,1,1,0,0.8469207443972677
2016-06-27,1.0,1.0,0.0,0.7813576640115941,1,1,0,0.847430501609355,1,1,0,0.7779658773353808
2016-06-28,1.0,1.0,0.0,0.7166228605765439,1,1,0,0.7772061290822865,1,1,0,0.7135933616210463
2016-06-29,1.0,1.0,0.0,0.657340234183864,1,1,0,0.7130034459522285,1,1,0,0.6545670925784162
2016-06-30,1.0,1.0,0.0,0.6088861476176366,1,1,0,0.6611456303981368,1,1,0,0.6068374320946186
2016-07-01,1.0,1.0,0.0,0.6097243459358851,1,1,0,0.6671021965876817,1,1,0,0.6033008086461175
2016-07-05,1.0,1.0,0.0,0.5948961243448532,1,1,0,0.6657348975003528,1,1,0,0.6121805543771355
2016-07-06,1.0,1.0,0.0,0.5882914152998742,1,1,0,0.6629747044202096,1,1,0,0.5824722138521281
2016-07-07,1.0,1.0,0.0,0.5805961826609722,1,1,0,0.6598653676482266,1,1,0,0.5798295899955365
2016-07-08,1.0,1.0,0.0,0.5653657447340125,1,1,0,0.6582555883479086,1,1,0,0.577630355192634
2016-07-11,1.0,1.0,0.0,0.5818291898655603,1,1,0,0.6726869920646031,1,1,0,0.6040672213033275
2016-07-12,1.0,1.0,0.0,0.6080184576617425,1,1,0,0.6989769599981496,1,1,0,0.6315185622093951
2016-07-13,1.0,1.0,0.0,0.637237506352152,1,1,0,0.7229720034107596,1,1,0,0.656079863121432
2016-07-14,1.0,1.0,0.0,0.6647213930229707,1,1,0,0.7449212081044696,1,1,0,0.6811632880531912
2016-07-15,1.0,1.0,0.0,0.6905106241859633,1,1,0,0.7649987583609952,1,1,0,0.7028826371658382
2016-07-18,1.0,1.0,0.0,0.7144768246594135,1,1,0,0.7843567092604944,1,1,0,0.7271962025156887
2016-07-19,1.0,1.0,0.0,0.7366179928089125,1,1,0,0.8021346480119687,1,1,0,0.7494879024783826
2016-07-20,1.0,1.0,0.0,0.7579060496874386,1,1,0,0.8170455439143811,1,1,0,0.7693916645064172
2016-07-21,1.0,1.0,0.0,0.7776100883579609,1,1,0,0.8320643459281704,1,1,0,0.7881005528594385
2016-07-22,1.0,1.0,0.0,0.7955779675977543,1,1,0,0.8452724095005492,1,1,0,0.8053436018852301
2016-07-25,1.0,1.0,0.0,0.812276475758074,1,1,0,0.8578086605168614,1,1,0,0.8211156306637047
2016-07-26,1.0,1.0,0.0,0.8272486364284186,1,1,0,0.8689138921153908,1,1,0,0.8353606131902183
2016-07-27,1.0,1.0,0.0,0.8407914656654079,1,1,0,0.8796732933630064,1,1,0,0.8485593953653936
2016-07-28,1.0,1.0,0.0,0.8522258677129977,1,1,0,0.8890746603957972,1,1,0,0.8608171261239568
2016-07-29,1.0,1.0,0.0,0.8629315678496339,1,1,0,0.8971141644437204,1,1,0,0.8714368018730474
2016-08-01,1.0,1.0,0.0,0.8723023060987705,1,1,0,0.9052128413886109,1,1,0,0.8810884417391731
2016-08-02,1.0,1.0,0.0,0.8798931688335463,1,1,0,0.9110670141507384,1,1,0,0.8892986228698508
2016-08-03,1.0,1.0,0.0,0.8879525193656533,1,1,0,0.9063367008459471,1,1,0,0.873561659778264
2016-08-04,1.0,1.0,0.0,0.8930372302819476,1,1,0,0.9109776293649755,1,1,0,0.875156467351968
2016-08-05,1.0,1.0,0.0,0.8916575298861127,1,1,0,0.9128307723001449,1,1,0,0.8772508399854467
2016-08-08,1.0,1.0,0.0,0.9001105670368272,1,1,0,0.919356677438898,1,1,0,0.8872952505594145
2016-08-09,1.0,1.0,0.0,0.9076377912861832,1,1,0,0.9248439294266323,1,1,0,0.8965519282594648
2016-08-10,1.0,1.0,0.0,0.9144663691118945,1,1,0,0.927941714148809,1,1,0,0.9047006472975215
2016-08-11,1.0,1.0,0.0,0.9178776494798863,1,1,0,0.9230778408276105,1,1,0,0.9057196922684859
2016-08-12,1.0,1.0,0.0,0.9237644462481331,1,1,0,0.9241386026628038,1,1,0,0.91077611805245
2016-08-15,1.0,1.0,0.0,0.9292019859481497,1,1,0,0.9107097905543096,1,1,0,0.9163078079393665
2016-08-16,1.0,1.0,0.0,0.9339683401541221,1,1,0,0.9174909440250439,1,1,0,0.9229655393647934
2016-08-17,1.0,1.0,0.0,0.9317003165769321,1,1,0,0.901268044247238,1,1,0,0.927837833433508
2016-08-18,1.0,1.0,0.0,0.9322580328343346,1,1,0,0.8681096068583414,1,1,0,0.9232788295644031
